"","x"
"49","@Mylife_KTV 속상하다ㅠㅠ 중국은 돼지가 죽어나가며 돼지고기 가격이 미친듯이 오르는데 우리나라는 오히려 시장이 위축되었네요ㅠㅠ 한국 가면 돼지고기 많이 사먹어야겠습니다ㅠㅠ"
"50","RT @nicheinmo: 이런 쇼. 이제는 좀 유치해 보인다.
돼지 볼 면목이 없다_

아프리카돼지열병(ASF) 발생에 따른 소비 위축으로 돼지고기 가격이 급락한 가운데, 국회가 12일 돼지고기 소비 촉진을 위해 '이색 캠페인'에 나섰다. http…"
"51","RT @Mylife_KTV: #아프리카돼지열병 으로 위축된 #돼지고기 소비 진작을 위해 국회와 정부, 농협이 나섰습니다. 농협에 따르면 #돼지 도매가격은 6일 기준 kg당 3479원으로 생산비(4200원)에도 못 미치는 수준인데요. #돼지고기_반값_…"
"52","RT @Mylife_KTV: #아프리카돼지열병 으로 위축된 #돼지고기 소비 진작을 위해 국회와 정부, 농협이 나섰습니다. 농협에 따르면 #돼지 도매가격은 6일 기준 kg당 3479원으로 생산비(4200원)에도 못 미치는 수준인데요. #돼지고기_반값_…"
"53","RT @Mylife_KTV: #아프리카돼지열병 으로 위축된 #돼지고기 소비 진작을 위해 국회와 정부, 농협이 나섰습니다. 농협에 따르면 #돼지 도매가격은 6일 기준 kg당 3479원으로 생산비(4200원)에도 못 미치는 수준인데요. #돼지고기_반값_…"
"54","RT @Mylife_KTV: #아프리카돼지열병 으로 위축된 #돼지고기 소비 진작을 위해 국회와 정부, 농협이 나섰습니다. 농협에 따르면 #돼지 도매가격은 6일 기준 kg당 3479원으로 생산비(4200원)에도 못 미치는 수준인데요. #돼지고기_반값_…"
"55","RT @Mylife_KTV: #아프리카돼지열병 으로 위축된 #돼지고기 소비 진작을 위해 국회와 정부, 농협이 나섰습니다. 농협에 따르면 #돼지 도매가격은 6일 기준 kg당 3479원으로 생산비(4200원)에도 못 미치는 수준인데요. #돼지고기_반값_…"
"56","RT @Mylife_KTV: #아프리카돼지열병 으로 위축된 #돼지고기 소비 진작을 위해 국회와 정부, 농협이 나섰습니다. 농협에 따르면 #돼지 도매가격은 6일 기준 kg당 3479원으로 생산비(4200원)에도 못 미치는 수준인데요. #돼지고기_반값_…"
"57","RT @Mylife_KTV: #아프리카돼지열병 으로 위축된 #돼지고기 소비 진작을 위해 국회와 정부, 농협이 나섰습니다. 농협에 따르면 #돼지 도매가격은 6일 기준 kg당 3479원으로 생산비(4200원)에도 못 미치는 수준인데요. #돼지고기_반값_…"
"58","RT @Mylife_KTV: #아프리카돼지열병 으로 위축된 #돼지고기 소비 진작을 위해 국회와 정부, 농협이 나섰습니다. 농협에 따르면 #돼지 도매가격은 6일 기준 kg당 3479원으로 생산비(4200원)에도 못 미치는 수준인데요. #돼지고기_반값_…"
"59","??? 마트왔는데 돼지고기가 이베리코랑 가격차이가 별로 안 나,.,?"
"60","RT @Mylife_KTV: #아프리카돼지열병 으로 위축된 #돼지고기 소비 진작을 위해 국회와 정부, 농협이 나섰습니다. 농협에 따르면 #돼지 도매가격은 6일 기준 kg당 3479원으로 생산비(4200원)에도 못 미치는 수준인데요. #돼지고기_반값_…"
