"","x"
"209","맨날 홍대에서 밥먹다가 동네 고기집 왔는데 감동스런 가격이다 생삼겹살6천원대 https://t.co/ziBtIssvvQ"
"210","대게1kg가격으로 2kg먹자대게선생에서 보내는 러시아대게 택배 믿을수있네요. #삼겹살 #소고기 #치킨 #힐링<U+00A0>#촬영 https://t.co/kPjiZXxYHK https://t.co/vrijL4XUXx"
"211","대게1kg가격으로 2kg먹자대게선생에서 보내는 러시아대게 택배 믿을수있네요. #삼겹살 #소고기 #치킨 #힐링<U+00A0>#촬영 https://t.co/vbWp43Rn8o https://t.co/GpansbQEvE"
"212","아... 분명 돼지고기 가격 떨어졌다는 뉴스를 봤는데.. 
삼겹살 가격은 올랐...200g에 15,000원.. 그런데도 미어터져..

도대체 누가 저물가에 경기가 불황이라고 떠드는겨?  <U+0001F928>"
"213","[역삼/삼곱식당] 삼겹살이랑 곱창 같이 먹을 수 있는 곳이라 간 건데 가격대비 양이 너무 적어서 흠...맛은 평범...잔치국수도 흔한 맛 아니고 좀 특이 하긴 했는데 그냥 그랬음... https://t.co/Z6TeD4taco"
"214","포천 태능오리마을 점심특선 제육, 오리불고기+돌솥밥 각 7천원! 가깝길래 들어왔는데 기대이상으로 밑반찬이 맛있고 가격에 비해 퀄리티가 너무 좋았다 ㅠㅜ.... 돌솥까진 아니지만 난 솥밥 정말 좋아해서 행복… https://t.co/xNhIoUms13"
"215","어제 가락시장가서 광어 방어 섞어 먹었는데 거의 대패삼겹살 가격으로 배부르게 먹음"
"216","삼겹살 가격 당분간 안 오르겠지? 내일 조질까"
"217","한 마리에 15만원씩 ""팔수록 손해""..돼지 농가 '눈물' |
한국 삼겹살 소비량 30%감소에다 이런저런 악재 맞은 #한돈농가 ㅠㅠ 
삼겹살 소비자 가격 내렸나요? 아님 올랐나요? https://t.co/T74g0oifvt"
"218","[대게1kg가격으로 2kg먹자]대게선생에서 보내는 러시아대게 택배 믿을수있네요. #삼겹살 #소고기 #치킨 #힐링<U+00A0>#촬영 https://t.co/6NNZ9o2N6q https://t.co/1D59uRNYNF"
"219","[대게1kg가격으로 2kg먹자]대게선생에서 보내는 러시아대게 택배 믿을수있네요. #삼겹살 #소고기 #치킨 #힐링<U+00A0>#촬영 https://t.co/xD7MuKpxvB https://t.co/FeGkVKVx8q"
"220","아무튼 .. 삼겹살 싸졌으니까 아싸 하고 사다가 먹으면 대는 문제잖어

유통문제로 가격이 그대로 유지되는게 싫으면 직접 가야지 
자본주의 사회에서 모든 건 다 돈인데 머.."
"221","@I__PEACH__U 삼겹살이랑 연어초밥 가격차이 얼마 나지도 않으니 그냥 삼겹살 드셔요..ㅠㅠ"
"222","RT @kimwes84: @daigang1290 삼겹살 마트에서도 비싼가요? 요새는 소고기만 사먹어봐서 가격체크를 못했네요. 삼겹살 쿨타임찼어요...으"
"223","혜화 고기공방

삼겹살 200g, 야채를 곁들여 1.4. 저녁시간에도 바 자리에서 혼밥이 가능하며, 역시 남이 구워준 고기는 맛있었다... 가격이 살짝 세기는 하다고 생각하는데 스스로를 대접하고 싶은 날 가… https://t.co/0nnz5PyRWE"
"224","진짜 삼겹살 가격 내려갔네 야호"
"225","식당 고기는 가격 남기려고 싼 고기를 써서 걍 우리집은 집에서 고기해먹음.
삼겹살 3인분 2만원인가? 로 뽕 뽑는다"
"226","글쓴이의 의도를 모르겠어.무슨 말이 하고싶은거지. 삼겹살값은 싼데 식당에선 왜 배로 비싸게 받는지 이해를 못하겠다는건가? 그럼 집에서직접 구워먹으면 되잖아. 왜 가게측에서 인분당 가격을 내려주길 바라는것 같… https://t.co/Cbpd0F3mZt"
"227","@daigang1290 삼겹살 마트에서도 비싼가요? 요새는 소고기만 사먹어봐서 가격체크를 못했네요. 삼겹살 쿨타임찼어요...으"
"228","RT @pohyaa: 5. 대학로 그날우리는
탐라에 종종 뜨는 곳인데 간장계란밥에 목살김치찌개 조합을 제일 사랑한다 ㅠㅠ 하지만 육회도 삼겹살 다 맛있는 곳이라는거!! 가격이 부담스럽지 않아서 최고최고!! https://t.co/awxA4pQHKc"
"229","회도 생성 겁나 잡혀서 가격 떨어졌다고하고 삼겹살도 그런데 식당가면 가격 다 그대로 받잖아. 식당가는 오르면 오르지 떨어지진 않아"
"230","RT @croco_davin_800: 뉴스에 삼겹살 가격 폭락얘기가 나온다.... 9월말 돼지열병으로 훅 올렸다가 수요가 급락하면서 가격이 엄청 떨어졌다고."
"231","뉴스에 삼겹살 가격 폭락얘기가 나온다.... 9월말 돼지열병으로 훅 올렸다가 수요가 급락하면서 가격이 엄청 떨어졌다고."
"232","RT @withyou3542: 서울시 종로구 #착한가격업소 에서 2만원으로 즐기는 소확행<U+0001F449>https://t.co/6XTepcGqrL

대패삼겹살이 1인분에 4,900원, 아메리카노 1잔이 1,900원 실화입니까?<U+0001F60D>

가성비 좋고, 친절한 착한가격업소…"
"233","오늘 점심은 삼겹살 꾸울거고 거기 해물라면이 진짜 맛있다. 나중에 고기 꾸운거랑같이 불판에 볶음밥까지 해먹을수잇는데 여기서 추가되는 가격은 업따는거ㅠ 행볶!"
"234","RT @Vegabond_er: 약수의 금돼지식당. 삼겹살, 목살 두 종류만 취급하는데 외국산 돼지와 제주 흑돼지의 혼합종인 듀록돼지를 사용한다. 가격이 좀 비싸지만 쫀득한 비계가 넉넉히 붙은 삼겹살은 충분히 즐길만한 맛.  부속고기로 끓인 김치찌개도…"
"235","@promiseMxxx ㄹㅇ..ㄹㅇ요ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 가격은좀잇지만......삼겹살비빔밥은 파는식당이 없자나요 그래서 걍 먹고잇음 맛잇어서 딱히 불만도 xx임!!"
